Hand,Fold,Call,Raise12,Allin100
22,0,0,-0.19,-2.4
32o,0,-0.68,-0.55,-4.42
32s,0,-0.38,-0.4,-3.39
33,0,0,-0.19,-2.19
42o,0,-0.63,-0.54,-4.34
42s,0,-0.31,-0.39,-3.3
43o,0,-0.5,-0.5,-3.93
43s,0,-0.18,-0.33,-2.92
44,0,0,-0.12,-1.96
52o,0,-0.59,-0.51,-4.25
52s,0,-0.26,-0.36,-3.22
53o,0,-0.42,-0.46,-3.84
53s,0,-0.09,-0.27,-2.84
54o,0,-0.34,-0.42,-3.46
54s,0,0,-0.08,-2.47
55,0,0,-0.01,-1.83
62o,0,-0.74,-0.56,-4.52
62s,0,-0.42,-0.41,-3.48
63o,0,-0.57,-0.51,-4.11
63s,0,-0.24,-0.35,-3.09
64o,0,-0.42,-0.45,-3.71
64s,0,-0.09,-0.25,-2.71
65o,0,-0.34,-0.4,-3.33
65s,0,0,-0.04,-2.35
66,0,0,0,-1.57
72o,0,-0.85,-0.62,-4.66
72s,0,-0.54,-0.47,-3.6
73o,0,-0.72,-0.57,-4.26
73s,0,-0.4,-0.42,-3.23
74o,0,-0.56,-0.5,-3.85
74s,0,-0.23,-0.35,-2.85
75o,0,-0.4,-0.44,-3.46
75s,0,-0.07,-0.24,-2.48
76o,0,-0.33,-0.4,-3.09
76s,0,0,-0.06,-2.13
77,0,0,0,-0.99
82o,0,-0.83,-0.56,-4.59
82s,0,-0.51,-0.41,-3.53
83o,0,-0.82,-0.57,-4.57
83s,0,-0.5,-0.42,-3.51
84o,0,-0.7,-0.52,-4.15
84s,0,-0.37,-0.36,-3.12
85o,0,-0.54,-0.45,-3.79
85s,0,-0.21,-0.29,-2.77
86o,0,-0.39,-0.38,-3.41
86s,0,-0.06,-0.18,-2.42
87o,0,-0.33,-0.37,-2.97
87s,0,0,-0.12,-2.02
88,0,0.04,0.04,-0.62
92o,0,-0.82,-0.54,-4.34
92s,0,-0.51,-0.38,-3.29
93o,0,-0.8,-0.53,-4.24
93s,0,-0.47,-0.37,-3.19
94o,0,-0.79,-0.53,-4.2
94s,0,-0.48,-0.38,-3.16
95o,0,-0.67,-0.47,-3.83
95s,0,-0.36,-0.32,-2.81
96o,0,-0.52,-0.4,-3.44
96s,0,-0.21,-0.24,-2.44
97o,0,-0.39,-0.36,-3
97s,0,-0.07,-0.19,-2.04
98o,0,-0.32,-0.28,-2.86
98s,0,0,-0.07,-1.89
99,0,0.58,0.58,-0.11
A2o,0,-0.55,-0.24,-1.65
A2s,0,-0.05,0,-0.73
A3o,0,-0.49,-0.23,-1.5
A3s,0,0,0,-0.6
A4o,0,-0.47,-0.21,-1.4
A4s,0,0.02,0.02,-0.51
A5o,0,-0.4,-0.18,-1.34
A5s,0,0.09,0.09,-0.45
A6o,0,-0.48,-0.22,-1.59
A6s,0,0,0,-0.69
A7o,0,-0.47,-0.22,-1.34
A7s,0,0,0,-0.46
A8o,0,-0.42,-0.17,-1.35
A8s,0,0.04,0.04,-0.46
A9o,0,-0.34,-0.1,-1.29
A9s,0,0.1,0.1,-0.4
AA,0,12.24,15.01,10.72
AJo,0,0.19,0.2,-0.34
AJs,0,0.66,0.66,0.47
AKo,0,2.77,3.84,1.96
AKs,0,3.52,4.69,2.59
AQo,0,0.61,0.61,0.15
AQs,0,1.5,1.57,0.94
ATo,0,-0.07,0.08,-0.76
ATs,0,0.36,0.36,0.09
J2o,0,-0.76,-0.45,-3.53
J2s,0,-0.42,-0.28,-2.52
J3o,0,-0.72,-0.45,-3.4
J3s,0,-0.38,-0.28,-2.41
J4o,0,-0.68,-0.44,-3.3
J4s,0,-0.34,-0.26,-2.3
J5o,0,-0.63,-0.41,-3.23
J5s,0,-0.29,-0.23,-2.24
J6o,0,-0.62,-0.4,-3.22
J6s,0,-0.29,-0.23,-2.23
J7o,0,-0.54,-0.38,-2.77
J7s,0,-0.21,-0.2,-1.81
J8o,0,-0.4,-0.28,-2.5
J8s,0,-0.08,-0.09,-1.55
J9o,0,-0.31,-0.2,-2.14
J9s,0,0,0,-1.22
JJ,0,4.03,4.48,2.69
JTo,0,-0.17,-0.1,-1.57
JTs,0,0.1,0.1,-0.69
K2o,0,-0.57,-0.29,-2.57
K2s,0,-0.14,-0.07,-1.62
K3o,0,-0.53,-0.29,-2.44
K3s,0,-0.1,-0.07,-1.5
K4o,0,-0.48,-0.28,-2.34
K4s,0,-0.05,-0.06,-1.4
K5o,0,-0.42,-0.24,-2.28
K5s,0,0,-0.01,-1.34
K6o,0,-0.41,-0.23,-2.19
K6s,0,0,0,-1.26
K7o,0,-0.42,-0.25,-2
K7s,0,-0.01,-0.02,-1.1
K8o,0,-0.41,-0.21,-2.05
K8s,0,0,0,-1.13
K9o,0,-0.35,-0.15,-1.78
K9s,0,0.04,0.04,-0.88
KJo,0,-0.02,0.03,-0.76
KJs,0,0.3,0.31,0.06
KK,0,8.81,10.75,7.36
KQo,0,0.24,0.24,-0.28
KQs,0,0.65,0.65,0.51
KTo,0,-0.13,0,-1.17
KTs,0,0.23,0.23,-0.32
Q2o,0,-0.66,-0.31,-3.06
Q2s,0,-0.28,-0.13,-2.05
Q3o,0,-0.62,-0.31,-2.93
Q3s,0,-0.23,-0.13,-1.94
Q4o,0,-0.57,-0.29,-2.83
Q4s,0,-0.19,-0.12,-1.84
Q5o,0,-0.52,-0.27,-2.76
Q5s,0,-0.14,-0.09,-1.78
Q6o,0,-0.5,-0.26,-2.68
Q6s,0,-0.13,-0.08,-1.71
Q7o,0,-0.52,-0.27,-2.57
Q7s,0,-0.16,-0.1,-1.61
Q8o,0,-0.43,-0.2,-2.3
Q8s,0,-0.07,-0.03,-1.35
Q9o,0,-0.33,-0.14,-1.94
Q9s,0,0.02,0.02,-1.01
QJo,0,-0.1,0,-0.94
QJs,0,0.18,0.18,-0.1
QQ,0,6.03,7.01,4.81
QTo,0,-0.15,0,-1.36
QTs,0,0.15,0.15,-0.48
T2o,0,-0.81,-0.48,-4.04
T2s,0,-0.49,-0.31,-3
T3o,0,-0.77,-0.47,-3.92
T3s,0,-0.45,-0.3,-2.9
T4o,0,-0.74,-0.46,-3.8
T4s,0,-0.41,-0.29,-2.79
T5o,0,-0.72,-0.45,-3.81
T5s,0,-0.4,-0.28,-2.79
T6o,0,-0.6,-0.39,-3.43
T6s,0,-0.28,-0.21,-2.43
T7o,0,-0.48,-0.35,-2.97
T7s,0,-0.16,-0.17,-2.01
T8o,0,-0.34,-0.24,-2.71
T8s,0,-0.03,-0.07,-1.76
T9o,0,-0.3,-0.18,-2.36
T9s,0,0,0,-1.43
TT,0,2.31,2.31,1.06
